fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
2,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.094,other,139.9,0.05,0.96,0.1,,,,,,0.88,5,1,5,2,1,,3,134059,685,150892,2878406,235,1380,1050,230,,129,113,49,,1666,1130765,431835,383032,########,https://covidactnow.org/us/alaska-ak,0.59,0.524,5,856505,3
1,US,AL,,state,,iso1:us#iso2:us-al,,4903185,0.075,other,17.3,0.1,0.87,0.1,,,,,,0.8,2,1,2,2,0,,1,817747,15407,774249,5212678,404,14938,10517,727,,1560,1255,179,,301,7058840,2652037,2177980,########,https://covidactnow.org/us/alabama-al,0.541,0.444,0,4773728,3
5,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.054,other,15.7,0.33,0.84,0.1,,,,,,0.77,2,1,2,1,0,,1,510406,8292,316953,3375296,790,8041,5619,457,,938,721,156,,161,4323790,1738750,1438561,########,https://covidactnow.org/us/arkansas-ar,0.576,0.477,11,3189087,3
4,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.107,other,35.3,0.03,0.97,0.1,,,,,,0.63,3,2,3,2,1,,0,1148641,20867,1171643,9548966,396,15532,11271,1657,,2150,1348,401,,158,10500600,4435215,3842005,########,https://covidactnow.org/us/arizona-az,0.609,0.528,11,8656911,3
6,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.021,other,14,0.38,0.9,0.1,,,,,,0.75,2,0,2,1,0,,1,4869133,71639,4847452,81328439,10600,61790,47332,3992,,6943,5230,961,,913,61486935,29239773,24045250,########,https://covidactnow.org/us/california-ca,0.74,0.609,111,53283990,2
8,US,CO,,state,,iso1:us#iso2:us-co,,5758736,0.085,other,44.3,0.1,1.05,0.1,,,,,,0.85,3,1,3,2,1,,2,731603,8273,725118,10003192,1300,11173,7999,1234,,1312,1118,380,,6155,8761605,3872758,3526977,########,https://covidactnow.org/us/colorado-co,0.673,0.612,53,7579455,3
9,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.024,other,11.4,0.42,0.98,0.1,,,,,,0.58,2,0,2,1,1,,0,400301,8739,524830,10634054,860,7903,6510,256,,1024,592,59,,899,5979585,2794952,2510279,########,https://covidactnow.org/us/connecticut-ct,0.784,0.704,0,5310937,2
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.012,other,11.6,0.65,0.9,0.14,,,,,,0.73,2,0,2,1,0,,1,63879,1186,91685,2862143,268,3443,2673,84,,335,244,15,,291,1289905,519525,438005,########,https://covidactnow.org/us/district_of_columbia-dc,0.736,0.621,0,1051871,2
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.065,other,31.4,0.14,0.9,0.1,,,,,,0.84,3,1,3,1,0,,2,142600,2064,160568,2523768,211,2895,2227,170,,199,167,27,,246,1632535,668180,580366,########,https://covidactnow.org/us/delaware-de,0.686,0.596,0,1283811,3
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.038,other,8.7,0.28,0.78,0.1,,,,,,0.73,1,1,1,1,0,,1,3635410,58933,4290991,37126660,2600,53036,40223,2276,,6264,4577,563,,4154,34664565,14757995,12756457,########,https://covidactnow.org/us/florida-fl,0.687,0.594,130,28141859,2
13,US,GA,,state,,iso1:us#iso2:us-ga,,10617423,0.047,other,12.4,0.24,0.77,0.1,,,,,,0.82,2,1,2,1,0,,2,1592167,27631,1231382,10478336,1570,20768,16394,1789,,2580,2119,495,,2690,15353515,5989569,5051789,########,https://covidactnow.org/us/georgia-ga,0.564,0.476,118,11223622,2
15,US,HI,,state,,iso1:us#iso2:us-hi,,1415872,0.024,other,8.7,0.48,0.85,0.12,,,,,,0.71,1,0,1,1,0,,1,80807,885,89539,2378927,300,2474,1843,87,,207,148,17,,85,2490360,1109282,842744,########,https://covidactnow.org/us/hawaii-hi,0.783,0.595,0,1958424,2
19,US,IA,,state,,iso1:us#iso2:us-ia,,3155070,0.114,other,30.9,0.08,0.92,0.1,,,,,,0.75,3,2,3,2,1,,1,479153,6848,473997,3991494,403,7310,4862,544,,630,473,127,,2440,4521285,1868877,1741944,########,https://covidactnow.org/us/iowa-ia,0.592,0.552,0,3630676,3
16,US,ID,,state,,iso1:us#iso2:us-id,,1787065,0.171,other,63,0.04,0.95,0.1,,,,,,0.88,3,2,3,2,1,,3,286399,3429,368010,1942146,250,3643,2271,545,,320,282,159,,1089,2383680,869813,777294,########,https://covidactnow.org/us/idaho-id,0.487,0.435,15,1681655,3
17,US,IL,,state,,iso1:us#iso2:us-il,,12671821,0.021,other,16.7,,0.94,0.1,,,,,,,2,0,2,4,1,,4,1691341,28477,1625546,26643692,3800,31339,23305,1707,,3282,2286,366,,5182,18958985,8816135,6897684,########,https://covidactnow.org/us/illinois-il,0.696,0.544,63,15703827,3
18,US,IN,,state,,iso1:us#iso2:us-in,,6732219,0.097,other,23.4,0.2,0.87,0.1,,,,,,0.69,2,1,2,1,0,,0,1014346,16524,1082718,9736736,1600,17274,10922,1311,,2279,1574,403,,3519,8881960,3598917,3340289,########,https://covidactnow.org/us/indiana-in,0.535,0.496,54,7100607,3
20,US,KS,,state,,iso1:us#iso2:us-ks,,2913314,0.084,other,27.7,0.09,0.96,0.1,,,,,,0.75,3,1,3,2,1,,1,431258,6268,394797,3685974,359,7949,4838,423,,787,594,125,,1498,4148765,1804886,1540988,########,https://covidactnow.org/us/kansas-ks,0.62,0.529,30,3277118,3
21,US,KY,,state,,iso1:us#iso2:us-ky,,4467673,0.068,other,31.2,0.18,0.81,0.1,,,,,,0.86,3,1,3,1,0,,3,742356,9741,726065,5759439,1240,10960,8235,1064,,1427,1222,256,,2501,6185465,2793328,2435390,########,https://covidactnow.org/us/kentucky-ky,0.625,0.545,75,5241800,3
22,US,LA,,state,,iso1:us#iso2:us-la,,4648794,0.02,other,10.9,0.31,0.84,0.1,,,,,,0.69,2,0,2,1,0,,0,756509,14480,700931,7815927,800,12528,8690,288,,1532,1058,99,,878,6065500,2489528,2202106,########,https://covidactnow.org/us/louisiana-la,0.536,0.474,18,4797565,2
25,US,MA,,state,,iso1:us#iso2:us-ma,,6892503,0.017,other,20.2,0.34,0.98,0.1,,,,,,0.78,2,0,2,1,1,,1,846044,18931,928025,28990043,2350,17381,14178,449,,1298,1013,132,,3392,11646150,5481154,4780386,########,https://covidactnow.org/us/massachusetts-ma,0.795,0.694,20,10260823,3
24,US,MD,,state,,iso1:us#iso2:us-md,,6045680,0.04,other,12.6,0.37,0.88,0.1,,,,,,0.69,2,1,2,1,0,,0,556826,10811,1137209,13507071,1400,8168,6757,754,,1053,722,122,,512,10598410,4386111,3980189,########,https://covidactnow.org/us/maryland-md,0.725,0.658,5,8391832,2
23,US,ME,,state,,iso1:us#iso2:us-me,,1344212,0.057,other,34.5,0.04,1.02,0.1,,,,,,0.77,3,1,3,2,1,,1,100967,1122,82832,2744732,86,3008,2197,220,,327,253,79,,585,2302770,1019740,942546,########,https://covidactnow.org/us/maine-me,0.759,0.701,0,1919012,3
26,US,MI,,state,,iso1:us#iso2:us-mi,,9986857,0.105,other,37.9,0.05,0.98,0.1,,,,,,0.82,3,2,3,2,1,,2,1253227,23342,1337786,16213483,1000,22116,17510,2184,,2514,2053,590,,8557,14303410,5781965,5322469,########,https://covidactnow.org/us/michigan-mi,0.579,0.533,56,11268319,3
27,US,MN,,state,,iso1:us#iso2:us-mn,,5639632,0.082,other,37.9,0.1,0.84,0.1,,,,,,0.79,3,1,3,2,0,,1,773351,8683,1132624,15051447,1028,9855,8000,1017,,943,746,228,,2981,8428160,3656023,3359267,########,https://covidactnow.org/us/minnesota-mn,0.648,0.596,22,7070207,3
29,US,MO,,state,,iso1:us#iso2:us-mo,,6137428,0.063,other,16.2,0.02,0.88,0.1,,,,,,0.79,2,1,2,2,0,,1,865878,12673,913380,7604222,94,15022,11910,1106,,1766,1402,290,,730,8275355,3464658,3035940,########,https://covidactnow.org/us/missouri-mo,0.565,0.495,1,6672934,3
69,US,MP,,state,,iso1:us#iso2:us-mp,,53605,,other,0.5,,,,,,,,,,0,4,0,4,4,,4,291,3,564,54971,10,,,,,,,,,1,86860,36201,34662,########,https://covidactnow.org/us/northern_mariana_islands-mp,0.675,0.647,0,71884,0
28,US,MS,,state,,iso1:us#iso2:us-ms,,2976149,0.059,other,14.8,0.09,0.79,0.1,,,,,,0.8,2,1,2,2,0,,1,501652,10024,237204,1678729,200,7943,5145,336,,787,631,91,,555,4009685,1538747,1348772,########,https://covidactnow.org/us/mississippi-ms,0.517,0.453,34,2930327,3
30,US,MT,,state,,iso1:us#iso2:us-mt,,1068778,0.165,other,80.9,0.05,0.95,0.1,,,,,,0.86,5,2,5,2,1,,3,172170,2260,193292,1408178,200,2768,2002,478,,237,203,124,,1414,1435885,602238,534432,########,https://covidactnow.org/us/montana-mt,0.563,0.5,13,1158737,3
37,US,NC,,state,,iso1:us#iso2:us-nc,,10488084,0.053,other,20.9,0.11,0.85,0.1,,,,,,0.8,2,1,2,1,0,,1,1466789,17885,1443567,14882807,1215,21577,16731,1589,,2267,1819,447,,5662,15385870,6619908,5486743,########,https://covidactnow.org/us/north_carolina-nc,0.631,0.523,102,12122081,3
38,US,ND,,state,,iso1:us#iso2:us-nd,,762062,0.091,other,62.3,0.21,0.9,0.1,,,,,,0.72,3,1,3,1,0,,1,145038,1753,120219,1784431,500,2060,1376,162,,83,60,55,,255,997460,403191,349427,########,https://covidactnow.org/us/north_dakota-nd,0.529,0.459,0,799769,3
31,US,NE,,state,,iso1:us#iso2:us-ne,,1934408,0.118,other,29.7,0.35,0.96,0.1,,,,,,0.82,3,2,3,1,1,,2,280836,2755,295744,2095464,1000,3890,2865,368,,472,388,119,,1037,2740510,1172597,1082273,########,https://covidactnow.org/us/nebraska-ne,0.606,0.559,1,2288596,3
33,US,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.053,other,29.2,0.07,0.94,0.1,,,,,,0.86,3,1,3,2,1,,3,132441,1543,109613,2547854,140,2799,2126,209,,212,183,48,,651,2265530,1009154,852140,########,https://covidactnow.org/us/new_hampshire-nh,0.742,0.627,0,1884965,3
34,US,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.036,other,13.5,0.5,0.88,0.1,,,,,,0.45,2,1,2,1,0,,0,1190439,27863,1188832,17390424,3000,21866,14531,861,,2951,1329,208,,943,14739795,6615769,5865208,########,https://covidactnow.org/us/new_jersey-nj,0.745,0.66,12,12103219,2
